iter	Logloss
0	0.6798776765
1	0.6708036486
2	0.6597001255
3	0.6508818679
4	0.6394597183
5	0.6313934739
6	0.6233699495
7	0.6113627547
8	0.6010009779
9	0.5916091325
10	0.581508655
11	0.5745866592
12	0.5659895807
13	0.5579847844
14	0.5473098672
15	0.5401091475
16	0.5322330655
17	0.5251887276
18	0.5199945471
19	0.51436232
20	0.5092235728
21	0.504787379
22	0.4985317045
23	0.4936509309
24	0.4866499792
25	0.4799813878
26	0.476045376
27	0.4717146323
28	0.4649812409
29	0.4610423465
30	0.4574098512
31	0.4540588379
32	0.4502516068
33	0.4448988857
34	0.440285209
35	0.4354335373
36	0.431756436
37	0.4279467739
38	0.4252761024
39	0.4212084431
40	0.4178614145
41	0.4143853196
42	0.4108705737
43	0.4076643629
44	0.4048101123
45	0.4014473782
46	0.3986662553
47	0.3960061145
48	0.3929094872
49	0.3906590668
50	0.3888188804
51	0.386301156
52	0.3847564373
53	0.3830506307
54	0.3806628852
55	0.3782403609
56	0.3766967622
57	0.3746052403
58	0.3726053391
59	0.3705623149
60	0.3686777389
61	0.3669992932
62	0.3653348681
63	0.3625589939
64	0.3613456192
65	0.3593279649
66	0.3579822625
67	0.3563834097
68	0.3548072908
69	0.353425246
70	0.3520213157
71	0.349987566
72	0.3482364876
73	0.3465822487
74	0.3452485563
75	0.3442934274
76	0.3432645574
77	0.342124061
78	0.3414052866
79	0.3403904919
80	0.3397402676
81	0.3384491397
82	0.3366307603
83	0.3360422595
84	0.3351530427
85	0.3344138842
86	0.3333174125
87	0.3324923211
88	0.331489105
89	0.3301209164
90	0.3290581304
91	0.3281839239
92	0.327351016
93	0.3262878899
94	0.3253774322
95	0.323958566
96	0.3230612936
97	0.3219618398
98	0.3213649064
99	0.3198715998
100	0.3191880003
101	0.3187123377
102	0.3179940433
103	0.3169650526
104	0.3161521402
105	0.3142706706
106	0.3134188134
107	0.3126417782
108	0.3116615407
109	0.3109247731
110	0.3102987273
111	0.3091718582
112	0.3084222154
113	0.3072577811
114	0.3065925462
115	0.3057518398
116	0.3052198604
117	0.3042021887
118	0.3030141777
119	0.3023109094
120	0.3016902536
121	0.3009446581
122	0.3002768099
123	0.2998671305
124	0.2992134431
125	0.2986199018
126	0.2978465455
127	0.2973226096
128	0.2967028189
129	0.2963794068
130	0.2958554642
131	0.2952813656
132	0.2948777827
133	0.2943848078
134	0.2940379201
135	0.2935122862
136	0.2926925391
137	0.2925298914
138	0.2918981106
139	0.2913568679
140	0.2911616062
141	0.2909257872
142	0.2903225595
143	0.2897640276
144	0.2895146772
145	0.2891081773
146	0.2890054037
147	0.288189914
148	0.287858817
149	0.2872495034
150	0.2866225831
151	0.2862541001
152	0.2858896143
153	0.2853889606
154	0.285095783
155	0.2846847005
156	0.2840668586
157	0.2834775252
158	0.283120208
159	0.2827607772
160	0.2823709737
161	0.281833639
162	0.2815011762
163	0.2809005674
164	0.2804521978
165	0.2798916429
166	0.279596734
167	0.279286916
168	0.2791756524
169	0.2785094017
170	0.2780154734
171	0.2777263433
172	0.2774510951
173	0.2768621513
174	0.2765824524
175	0.2763102677
176	0.2757956159
177	0.2754284023
178	0.274766144
179	0.2741158582
180	0.2735793607
181	0.2731451263
182	0.2728772891
183	0.272459619
184	0.2721654463
185	0.271687826
186	0.2713142284
187	0.2710405245
188	0.2706531324
189	0.2702296203
190	0.2698239187
191	0.269545181
192	0.2693658532
193	0.2691018635
194	0.2689193305
195	0.268710308
196	0.2683539323
197	0.2680845195
198	0.2679388448
199	0.2675732468
200	0.267072391
201	0.2669889287
202	0.2667430506
203	0.2665157868
204	0.2664040122
205	0.2660861448
206	0.2656272156
207	0.2652152166
208	0.2648149669
209	0.2646530308
210	0.2643594693
211	0.2640386671
212	0.263671505
213	0.2634762962
214	0.2632017272
215	0.2629727524
216	0.2629139754
217	0.2623763503
218	0.2620065869
219	0.2618168428
220	0.2616090922
221	0.2613783635
222	0.261327755
223	0.2607821998
224	0.2602547146
225	0.2600445127
226	0.2597943007
227	0.2595138821
228	0.259235514
229	0.2590126818
230	0.2588220605
231	0.2585398507
232	0.2582518074
233	0.2579455388
234	0.2574606843
235	0.2569098597
236	0.2567128581
237	0.256407792
238	0.2561673615
239	0.2559018652
240	0.255677317
241	0.25543332
242	0.2552593887
243	0.2549993842
244	0.2548259839
245	0.2547019584
246	0.2546865472
247	0.254382304
248	0.2543124657
249	0.254070112
